Date, Open, High, Low, Close, Volume
03/11/19, 201.88, 207.1599, 201.66, 207.10, 2385314
03/08/19, 198.38, 201.17, 198.00, 200.89, 1724488
03/07/19, 202.56, 202.56, 198.50, 199.86, 3339599
03/06/19, 204.73, 204.79, 202.76, 202.80, 1825348
03/05/19, 205.58, 207.25, 203.84, 203.84, 2744490
03/04/19, 208.99, 209.98, 205.7384, 206.86, 1990128
03/01/19, 208.81, 209.76, 206.90, 207.49, 1754444
02/28/19, 209.05, 209.05, 206.96, 207.39, 2121733
02/27/19, 209.60, 209.69, 208.16, 209.03, 1540585
02/26/19, 210.58, 211.59, 209.37, 209.38, 1671310
02/25/19, 210.47, 211.35, 210.34, 210.58, 2183547
02/22/19, 207.77, 209.66, 207.15, 209.35, 1534158
02/21/19, 208.16, 209.11, 207.25, 207.77, 1737687
02/20/19, 208.93, 208.97, 207.32, 208.53, 1879145
02/19/19, 207.91, 209.15, 207.39, 208.41, 1534457
02/15/19, 206.46, 208.97, 206.00, 208.86, 2000378
02/14/19, 206.59, 207.12, 204.05, 204.93, 2229753
02/13/19, 207.09, 210.40, 206.59, 209.72, 2967332
02/12/19, 202.87, 206.79, 202.19, 206.57, 2622973
02/11/19, 200.93, 201.20, 199.64, 200.91, 1513457
02/08/19, 199.22, 199.85, 197.90, 199.82, 1451833
02/07/19, 201.02, 202.40, 198.855, 199.84, 1949371
02/06/19, 201.22, 203.08, 200.25, 202.57, 1672422
02/05/19, 200.72, 201.13, 199.7252, 201.12, 2036879
02/04/19, 199.01, 200.26, 196.25, 200.21, 1973572
02/01/19, 201.49, 201.77, 198.29, 199.16, 2239400
01/31/19, 198.80, 200.89, 197.74, 200.30, 3338363
01/30/19, 198.22, 200.11, 194.63, 199.27, 2168133
01/29/19, 195.01, 199.89, 194.20, 196.95, 4311097
01/28/19, 193.14, 193.45, 191.07, 193.20, 3156986
01/25/19, 194.72, 197.16, 194.46, 195.90, 2320397
01/24/19, 192.26, 193.165, 191.51, 192.52, 1582949
01/23/19, 192.63, 194.00, 190.275, 192.29, 1653006
01/22/19, 194.22, 194.49, 190.43, 192.26, 2709562
01/18/19, 194.34, 196.40, 192.36, 195.86, 2746603
01/17/19, 188.56, 192.90, 187.895, 191.71, 1978891
01/16/19, 188.51, 190.44, 188.42, 189.48, 2492126
01/15/19, 188.84, 190.6761, 187.86, 188.94, 2737349
01/14/19, 190.64, 192.83, 189.80, 192.17, 1914426
01/11/19, 191.84, 192.69, 190.86, 192.21, 2360186
01/10/19, 190.87, 193.81, 189.40, 193.60, 1939317
01/09/19, 193.25, 193.94, 191.3816, 192.30, 2163815
01/08/19, 193.00, 194.11, 189.58, 191.68, 2479787
01/07/19, 191.36, 192.30, 188.66, 190.88, 2162158
01/04/19, 186.75, 191.98, 186.03, 191.32, 2995052
01/03/19, 188.28, 188.28, 182.89, 183.76, 3358241
01/02/19, 187.82, 190.99, 186.70, 190.95, 2475193
12/31/18, 190.34, 191.65, 188.50, 190.54, 1804618
12/28/18, 191.81, 192.30, 188.57, 189.37, 2311390
12/27/18, 183.50, 190.70, 182.88, 190.70, 2809032
12/26/18, 179.38, 186.33, 176.87, 186.26, 2925561
12/24/18, 181.89, 183.54, 178.51, 178.62, 2249502
12/21/18, 187.86, 190.50, 183.64, 183.75, 6699190
12/20/18, 189.11, 191.12, 185.50, 187.38, 3609477
12/19/18, 196.00, 198.23, 189.70, 189.96, 3266548
12/18/18, 193.39, 196.92, 193.15, 194.56, 2636317
12/17/18, 195.84, 198.245, 191.85, 192.82, 2547591
12/14/18, 200.12, 201.57, 195.85, 196.10, 2473515
